Distance,avgPrice
0,773102.8986
0.7,652058.8235
1.3,1409505.098
1.4,695444.4444
1.6,1210067.175
1.8,1068528.202
1.9,1308982.234
2,916205.0725
2.1,1256600.649
2.4,1075563.061
2.7,1078120.069
3,1617083.832
3.1,1041723.077
3.4,847916.873
3.5,1326118.122
3.6,1302473.822
4,927370.5584
4.1,1777111.919
4.3,958391.787
4.6,1123462.53
5,833087.561
5.1,795125.8581
5.2,926937.2135
5.3,1230052.703
5.4,1722933.953
5.7,1176977.561
5.9,2036597.647
6.2,1150682.053
6.3,1199556.497
6.4,765668.4174
6.7,890039.9331
6.8,1310421.053
7,964045.9365
7.2,1104084.183
7.3,1566667.185
7.5,1153072.337
7.7,1810614.894
7.8,1259570.026
7.9,1942105.373
8.2,1097387.04
8.4,1250409.452
8.5,767588.7991
8.6,709056
8.7,1177656.463
8.8,731885.1648
8.9,1066237.325
9.4,791730.9942
9.5,842075.2577
9.7,1737259.951
10.1,922878.6937
10.2,1495759.667
10.3,1686790.437
10.4,964308.3978
10.5,1140860.57
10.8,1162148.52
10.9,1268557.655
11,927829.1176
11.2,703619.2447
11.4,1253412.649
11.7,876048.7981
12,698383.8041
12.1,744835.4563
12.3,1024291.03
12.4,1223585.814
12.7,801982.438
12.8,604044.9438
12.9,631414.6617
13.1,674281.8533
13.4,1157207.546
13.8,1250806.928
14,558385.4
14.2,1296338.415
14.3,1144555.011
14.5,776652.0661
14.6,868782.4561
14.7,761505.9453
14.8,614932.2819
15.2,1590392.157
15.3,593138.4615
15.4,992542.9412
15.5,948250.7347
16,1081346.402
16.1,889017.6962
16.2,848805.2083
16.3,613018.8552
16.5,613261.6667
16.6,529714.2857
16.7,1237325.659
17.2,1010388.787
17.3,1523212.551
17.4,480242.4242
17.5,800165.6198
17.6,659166.6667
17.9,807832.8881
18,743707.2667
18.4,552199.3565
18.7,712266.6667
18.8,903335.633
19.5,1360000
19.6,555715.3207
19.9,872063.8918
20,941360.2236
20.1,1386090.909
20.4,782093.9535
20.5,616711.9336
20.6,553063.8431
20.8,755291.6667
21.1,1211575
21.3,877303.8112
21.5,1027159.526
21.8,723210.7945
22.2,844248.249
22.7,646396.3504
22.9,1158833.333
23,809583.9971
23.2,752371.6418
23.3,856420.5814
23.5,902018.2927
23.6,844500
23.8,559451.6129
24.3,1156250
24.7,608516.0759
24.8,754198.031
25,742434.3398
25.2,813354.1667
25.5,572124.4094
25.9,587952.2156
26,798523.2558
26.1,672000
26.5,735122.093
27,851179.5224
27.1,716640.5217
27.2,481109.124
27.7,476250
28.4,813000
28.5,672394.7368
28.8,507026.7857
29.3,849420
29.5,755000
29.8,405731.982
29.9,701562.5
30.1,405000
30.4,733625.375
30.6,680000
31.2,749757.0093
31.4,986666.6667
31.6,653722.2222
31.7,489354.7558
32.3,656375
33,630000
33.3,520857.8947
33.8,647500
34.1,595164
34.6,1080000
34.7,580152.1667
34.9,516275.8621
35.2,793654.2553
35.4,678979.2683
35.5,556000
36.9,503242.8571
37.5,447200
38,717104.0501
39,629000
39.8,716666.6667
41,579145.1613
42.1,397000
43.3,567000
43.4,633000
44.2,532366.6667
45.2,817625
45.9,731802.3256
47.3,508286.6667
47.4,772107.1429
48.1,732115.3846
49.3,455000
55.8,450000
